"ParasiteReportedName","ParasiteCorrectedName","HasBinomialName","NameObservations","FLAG","NameID","NameCitation","ParType","ParPhylum","ParClass","ParOrder","ParFamily","StrainorSubsps"
"Abbreviata","Abbreviata sp.","no","valid in papers","","Jones 1988","Jones, H. I. (1988). Nematodes from 9 species of Varanus (Reptilia) from tropical northern Australia, with particular reference to the genus Abbreviata (Physalopteridae).†Australian Journal of Zoology,†36(6), 691-708.","Helminth","Nematoda","Secernentea","Spirurida","Physalopteridae",""
"GBV-C/HGV","ABOLISHED","no","name abolished in 2004","","","","Virus","RNA virus","ss+","Nidovirales","Flaviviridae",""
"Bussuquara virus","ABOLISHED","no","Flavivirus Bussuquara virus abolished in 1993 in ICTV, but used in papers","","","","Virus","RNA virus","ss+","Nidovirales","Flaviviridae",""
"Papillomavirus sp. (Procyonidae)","ABOLISHED","no","Papillomavirus was abolished in 2002 by the ICTV","","","","Virus","DNA virus","ds",NA,"Papillomaviridae",""
"Adenovirus SA-7","ABOLISHED","no","name abolished, synonym uncertain","","","","Virus","DNA virus","ds",NA,"Adenoviridae",""
"Adenovirus SV-15","ABOLISHED","no","name abolished, synonym uncertain","","","","Virus","DNA virus","ds",NA,"Adenoviridae",""
"Adenovirus V-340","ABOLISHED","no","name abolished, synonym uncertain","","","","Virus","DNA virus","ds",NA,"Adenoviridae",""
"Adenovirus SV-20","ABOLISHED","no","name abolished, synonym uncertain","","","","Virus","DNA virus","ds",NA,"Adenoviridae",""
"Adenovirus SV-32","ABOLISHED","no","name abolished, synonym uncertain","","","","Virus","DNA virus","ds",NA,"Adenoviridae",""
"Adenovirus SV-33","ABOLISHED","no","name abolished, synonym uncertain","","","","Virus","DNA virus","ds",NA,"Adenoviridae",""
"Adenovirus SV-23","ABOLISHED","no","name abolished, synonym uncertain","","","","Virus","DNA virus","ds",NA,"Adenoviridae",""
"Papillomavirus","ABOLISHED","no","Papillomavirus was abolished in 2002 by the ICTV","","","","Virus","DNA virus","ds",NA,"Papillomaviridae",""
"Papillomavirus sp. (Felidae)","ABOLISHED","no","Papillomavirus was abolished in 2002 by the ICTV","","","","Virus","DNA virus","ds",NA,"Papillomaviridae",""
"Acanthocephalus anguillae","Acanthocephalus anguillae","yes","valid name in NCBI","","NCBI 185726","","Helminth","Acanthocephala","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae",""
"Acanthocephalus ranae","Acanthocephalus ranae","yes","valid name in papers","","Schrank 1788","Schrank, F. v. P.: Verzeichnis der bisher hinl‰nglich bekannten Eingeweidew¸rmer, nebst einer Abhandlung ¸ber ihre Anverwandtschaften, 116 S. M¸nchen 1788.","Helminth","Acanthocephala","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae",""
"Acanthocheilonema dracunculoides","Acanthocheilonema dracunculoides","yes","valid name in NCBI","","NCBI 328821","","Helminth","Nematoda","Secernentea","Spirurida","Onchocercidae",""
"Dipetalonema odendhali","Acanthocheilonema odendhali","yes","valid name in NCBI","","NCBI 1346854","","Helminth","Nematoda","Secernentea","Spirurida","Onchocercidae",""
"Dipetalonema procyonis","Acanthocheilonema procyonis","yes","valid name in GBIF, Acanthocheilonema was a subgneus in some notations","","GBIF ID 7029663","Smith, J. (1980). Redescription of Dipetalonema (Acanthocheilonema) procyonis Price 1955 (Nematoda: Filarioidea) from the Raccoon.†The Journal of Parasitology,†66(2), 333-336. doi:1. Retrieved from http://www.jstor.org/stable/3280828","Helminth","Nematoda","Secernentea","Spirurida","Onchocercidae",""
"Acanthocheilonema procyonis","Acanthocheilonema procyonis","yes","valid name in GBIF, Acanthocheilonema was a subgneus in some notations","","GBIF ID 7029663","Smith, J. (1980). Redescription of Dipetalonema (Acanthocheilonema) procyonis Price 1955 (Nematoda: Filarioidea) from the Raccoon.†The Journal of Parasitology,†66(2), 333-336. doi:1. Retrieved from http://www.jstor.org/stable/3280828","Helminth","Nematoda","Secernentea","Spirurida","Onchocercidae",""
"Acanthocheilonema reconditum","Acanthocheilonema reconditum","yes","valid name in NCBI","","NCBI 114234","","Helminth","Nematoda","Secernentea","Spirurida","Onchocercidae",""
"Acanthocheilonema spirocauda","Acanthocheilonema spirocauda","yes","valid name in NCBI","","NCBI 1285935","","Helminth","Nematoda","Secernentea","Spirurida","Onchocercidae",""
"Dipetalonema spirocauda","Acanthocheilonema spirocauda","yes","invalid genus, this name is valid in NCBI","","NCBI 1285935","Papadopoulos, E., Loukopoulos, P., Komnenou, A., Androukaki, E., & Karamanlidis, A. A. (2010). First report of Acanthocheilonema spirocauda in the Mediterranean monk seal (Monachus monachus).†Journal of wildlife diseases,†46(2), 570-573.","Helminth","Nematoda","Secernentea","Spirurida","Onchocercidae",""
"Acanthotheilonema spirocauda","Acanthocheilonema spirocauda","yes","valid name in NCBI","","NCBI 1285935","","Helminth","Nematoda","Secernentea","Spirurida","Onchocercidae",""
"Achromobacter xylosoxidans","Achromobacter xylosoxidans","yes","valid name in NCBI","","NCBI 85698","","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae",""
"Acinetobacter anitratus","Acinetobacter antiviralis","yes","valid name in NCBI","","NCBI 363192","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",""
"Acinetobacter baumanii","Acinetobacter baumannii","yes","valid name in NCBI","","NCBI 470","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",""
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus","yes","valid name in NCBI","","NCBI 471","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",""
"Acinetobacter lwoffii","Acinetobacter lwoffii","yes","valid name in NCBI","","NCBI 28090","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",""
"Acinetobacter Iwoffii","Acinetobacter lwoffii","yes","valid name in NCBI","","NCBI 28090","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",""
"Acinetobacter lwolfii","Acinetobacter lwoffii","yes","valid name in NCBI","","NCBI 28090","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",""
"Acinetobacter Iwoffi","Acinetobacter lwoffii","yes","valid name in NCBI","","NCBI 28090","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",""
"Acinobacter iwoffi","Acinetobacter lwoffii","yes","valid name in NCBI","","NCBI 28090","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",""
"Acinetobacter calco/lwoffi","Acinetobacter sp.","no","valid name in NCBI","","NCBI 469","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",""
"Acinetobacter sp.","Acinetobacter sp.","no","valid name in NCBI","","NCBI 469","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",""
"Actinobacillus actinomycetemcomitans","Actinobacillus actinomycetemcomitans","yes","valid name in NCBI","","NCBI 714","","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",""
"Actinobacillus equuli","Actinobacillus equuli","yes","valid name in NCBI","","NCBI 718","","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",""
"Actinobacillus","Actinobacillus sp.","no","valid name in NCBI","","NCBI 713","","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",""
"Actinomyces sp.","Actinomyces sp.","no","valid name in NCBI","","NCBI 1654","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae",""
"Actinomyces","Actinomyces sp.","no","valid name in NCBI","","NCBI 1654","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae",""
"Aelurostrongylus abstrusus","Aelurostrongylus abstrusus","yes","valid name in NCBI","","NCBI 321389","","Helminth","Nematoda","Secernentea","Rhabditida","Angiostrongylidae",""
"Aelurostrongylus abstusus","Aelurostrongylus abstrusus","yes","valid name in NCBI","","NCBI 321389","","Helminth","Nematoda","Secernentea","Rhabditida","Angiostrongylidae",""
"Aelurostrongylus falciformis","Aelurostrongylus falciformis","yes","valid name in papers","","Al-Sabi et al. 2010","Al-Sabi, M. N., Deplazes, P., Webster, P., Willesen, J. L., Davidson, R. K., & Kapel, C. M. (2010). PCR detection of Angiostrongylus vasorum in faecal samples of dogs and foxes. Parasitology research, 107(1), 135-140.","Helminth","Nematoda","Secernentea","Rhabditida","Angiostrongylidae",""
"Aelurostrongylus pridhami","Aelurostrongylus pridhami","yes","valid name in papers","","Torres et al. 2001","Torres, J., Miquel, J., & MotjÈ, M. (2001). Helminth parasites of the eurasian badger (Meles meles L.) in Spain: a biogeographic approach. Parasitology Research, 87(4), 259-263.","Helminth","Nematoda","Secernentea","Rhabditida","Angiostrongylidae",""
"Aelurostrongylus ap.","Aelurostrongylus sp.","no","valid name in NCBI","","NCBI 321388","","Helminth","Nematoda","Secernentea","Rhabditida","Angiostrongylidae",""
"Aelurostrongylus sp.","Aelurostrongylus sp.","no","valid name in NCBI","","NCBI 321388","","Helminth","Nematoda","Secernentea","Rhabditida","Angiostrongylidae",""
"Aerobacter sp.","Aerobacter sp.","no","valid in papers","","Sandford and Conrad 1966","Sandford, P. A., & Conrad, H. E. (1966). The Structure of the Aerobacter aerogenes A3 (S1) Polysaccharide. I. A Reexamination Using Improved Procedures for Methylation Analysis*.†Biochemistry,†5(5), 1508-1517.","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae",""
"Aerococcus sp.","Aerococcus sp.","no","valid name in NCBI","","NCBI 1375","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae",""
"Aerococcus viridans","Aerococcus viridans","yes","valid name in NCBI","","NCBI 1377","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae",""
"Aeromonas hydrophila","Aeromonas hydrophila","yes","valid name in NCBI","","NCBI 644","","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae",""
"Aeromonas sp.","Aeromonas sp.","no","valid name in NCBI","","NCBI 642","","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae",""
"Aeromonas spp.","Aeromonas sp.","no","valid name in NCBI","","NCBI 642","","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae",""
"Africanostrongylus buceros","Africanostrongylus buceros","yes","valid name in papers","","Hoberg and Ezenwa 2008","Hoberg, E. P., Abrams, A., & Ezenwa, V. O. (2008). An exploration of diversity among the Ostertagiinae (Nematoda: Trichostrongyloidea) in ungulates from sub-Saharan Africa with a proposal for a new genus. Journal of Parasitology, 94(1), 230-251.","Helminth","Nematoda","Secernentea","Rhabditida","Trichostrongyloidea",""
"Agriostomum cursoni","Agriostomum cursoni","yes","valid name in GBIF","","GBIF ID 7034507","","Helminth","Nematoda","Secernentea","Rhabditida","Ancylostomatidae",""
"Agriostomum equidentatum","Agriostomum equidentatum","yes","valid name in GBIF","","GBIF ID 7034506","","Helminth","Nematoda","Secernentea","Rhabditida","Ancylostomatidae",""
"Agriostomum gorgonis","Agriostomum gorgonis","yes","valid name in GBIF","","GBIF ID 7034508","","Helminth","Nematoda","Secernentea","Rhabditida","Ancylostomatidae",""
"Agriostomum","Agriostomum sp.","no","valid name in GBIF","","GBIF ID 4630661","","Helminth","Nematoda","Secernentea","Rhabditida","Ancylostomatidae",""
"Agriostomum sp.","Agriostomum sp.","no","valid name in GBIF","","GBIF ID 4630661","","Helminth","Nematoda","Secernentea","Rhabditida","Anclyostomidae",""
"Agrobacterium sp.","Agrobacterium sp.","no","valid name in NCBI","","NCBI 357","","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",""
"Agrobacterium tumefaciens","Agrobacterium tumefaciens","yes","valid name in NCBI","","NCBI 358","","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",""
"Alaria alata","Alaria alata","yes","valid name in NCBI","","NCBI 138590","","Helminth","Platyhelminthes","Trematoda","Strigeidida","Diplostomatidae",""
"Alaria americana","Alaria americana","yes","valid in papers","","McDonald et al. 1994","McDonald, H. R., Kazacos, K. R., Schatz, H., & Johnson, R. N. (1994). Two cases of intraocular infection with Alaria mesocercaria (Trematoda). American journal of ophthalmology, 117(4), 447-455.","Helminth","Platyhelminthes","Trematoda","Strigeidida","Diplostomatidae",""
"Alaria arisaemoides","Alaria arisaemoides","yes","valid in papers","","Johnson 1970","Johnson, A. D. (1970). Alaria mustelae: description of mesocercaria and key to related species. Transactions of the American Microscopical Society, 250-253.","Helminth","Platyhelminthes","Trematoda","Strigeidida","Diplostomatidae",""
"Alaria canis","Alaria canis","yes","valid in papers","","Larue and Fallis 1936","Larue, G. R., & Fallis, A. M. (1936). Morphological study of Alaria canis n. sp.(Trematoda: Alariidae), a trematode parasite of the dog. Transactions of the American Microscopical Society, 55(3), 340-351.","Helminth","Platyhelminthes","Trematoda","Strigeidida","Diplostomatidae",""
"Alaria marcianae","Alaria marcianae","yes","valid name in NCBI","","NCBI 1684801","","Helminth","Platyhelminthes","Trematoda","Strigeidida","Diplostomatidae",""
"Alaria marcinae","Alaria marcianae","yes","valid name in NCBI","","NCBI 1684801","","Helminth","Platyhelminthes","Trematoda","Strigeidida","Diplostomatidae",""
"Alaria marcianiae","Alaria marcianae","yes","valid name in NCBI","","NCBI 1684801","","Helminth","Platyhelminthes","Trematoda","Strigeidida","Diplostomatidae",""
"Alaria mustelae","Alaria mustelae","yes","valid name in NCBI","","NCBI 669500","","Helminth","Platyhelminthes","Trematoda","Strigeidida","Diplostomatidae",""
"Alaria sp.","Alaria sp.","no","valid name in NCBI","","NCBI 138589","","Helminth","Platyhelminthes","Trematoda","Strigeidida","Diplostomatidae",""
"Alaria spp.","Alaria sp.","no","valid name in NCBI","","NCBI 138589","","Helminth","Platyhelminthes","Trematoda","Strigeidida","Diplostomatidae",""
"Alaria taxideae","Alaria taxideae","yes","valid name in NCBI","","NCBI 1008877","","Helminth","Platyhelminthes","Trematoda","Strigeidida","Diplostomatidae",""
"Alcaligenes sp.","Alcaligenes sp.","no","valid name in NCBI","","NCBI 507","","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae",""
"Allodapa sp.","Allodapa sp.","no","valid in papers","","Inglis 1964","Inglis, W. G. (1964). Functional deformation in the head of the genus Allodapa (Nematoda).†Journal of Helminthology,†38(1-2), 31-40.","Helminth","Nematoda","Secernentea","Rhabditida","Subularidae",""
"Alouattalges corbeti","Alouattalges corbeti","yes","valid name in GBIF","","GBIF 6902049","GBIF","Arthropod","Arthropoda","Arachnida","Astigmata","Psoralgidae",""
"Alouattamyia baeri","Alouattamyia baeri","yes","valid in papers","","Stuart et al. 1998","Stuart, M., Pendergast, V., Rumfelt, S., Pierberg, S., Greenspan, L., Glander, K., & Clarke, M. (1998). Parasites of wild howlers (Alouatta spp.). International Journal of Primatology, 19(3), 493-512.","Arthropod","Arthropoda","Insecta","Diptera","Oestridae",""
"Feline coronoavirus","Alphacoronavirus Alphacoronavirus 1","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Coronaviridae",""
"Canine coronavirus","Alphacoronavirus Alphacoronavirus 1","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Coronaviridae",""
"Feline infectious peritonitis virus/feline enteric corona virus","Alphacoronavirus Alphacoronavirus 1","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Coronaviridae",""
"Feline coronavirus","Alphacoronavirus Alphacoronavirus 1","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Coronaviridae",""
"Coronavirus","Alphacoronavirus Alphacoronavirus 1","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Coronaviridae",""
"Feline coronavirus/feline infectious peritonitis virus","Alphacoronavirus Alphacoronavirus 1","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Coronaviridae",""
"Feline enteric corona virus/feline infectious peritonitis virus","Alphacoronavirus Alphacoronavirus 1","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Coronaviridae",""
"Coronavirus feline infectious peritonitis","Alphacoronavirus Alphacoronavirus 1","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Coronaviridae",""
"Coronavirus sp.","Alphacoronavirus Alphacoronavirus 1","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Coronaviridae",""
"Feline corona virus","Alphacoronavirus Alphacoronavirus 1","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Coronaviridae",""
"Feline infectious peritonitis (FIP)","Alphacoronavirus Alphacoronavirus 1","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Coronaviridae",""
"Feline enteric coronavirus","Alphacoronavirus Alphacoronavirus 1","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Coronaviridae",""
"Feline Coranovirus","Alphacoronavirus Alphacoronavirus 1","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Coronaviridae",""
"TTV circinovirus","Alphatorquevirus sp.","no","TTV virus (or circinvirus) can refer to any species in the genus","","","","Virus","DNA virus","ss",NA,"Anelloviridae",""
"Chikungunya virus","Alphavirus Chikungunya virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"Chikungunya (CHIK) virus","Alphavirus Chikungunya virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"eastern equine encephalitis","Alphavirus Eastern equine encephalitis virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"Eastern equine encephalitis virus","Alphavirus Eastern equine encephalitis virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"Eastern Equine encephalitis","Alphavirus Eastern equine encephalitis virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"Mayaro fever","Alphavirus Mayaro virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"Mayaro","Alphavirus Mayaro virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"Mayaro virus (Alphavirus, Togaviridae)","Alphavirus Mayaro virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"Mayaro virus","Alphavirus Mayaro virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"Semliki Forest virus","Alphavirus Semliki forest virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"Semliki forest virus","Alphavirus Semliki forest virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"Alphavirus Sindbis virus","Alphavirus Sindbis virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"Sinbis","Alphavirus Sindbis virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"Sindbis","Alphavirus Sindbis virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"Southern elephant seal virus","Alphavirus Southern elephant seal virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"Alphavirus sp.","Alphavirus sp.","no","valid name in NCBI","","NCBI 11019","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"Alphavirus Venezuelan equine encephalitis virus strain TC-83","Alphavirus Venezuelan equine encephalitis virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae","strain TC-83"
"Alphavirus Venezuelan equine encephalitis virus strain Mena II","Alphavirus Venezuelan equine encephalitis virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae","strain Mena II"
"Alphavirus western equine encephalitis virus","Alphavirus Western equine encephalitis virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss+","Nidovirales","Togaviridae",""
"Ambylomma americanum","Amblyomma americanum","yes","valid name in NCBI","","NCBI 6943","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma americanum","Amblyomma americanum","yes","valid name in NCBI","","NCBI 6943","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma ameicanum","Amblyomma americanum","yes","valid name in NCBI","","NCBI 6943","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma aureolatum","Amblyomma aureolatum","yes","valid name in NCBI","","NCBI 187763","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"amblyomma brasiliense","Amblyomma brasiliense","yes","valid name in NCBI","","NCBI 257691","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma cajennense","Amblyomma cajennense","yes","valid name in NCBI","","NCBI 34607","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma coelebs","Amblyomma coelebs","yes","valid name in NCBI","","NCBI 251378","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma coherens","Amblyomma cohaerens","yes","valid in papers","","Cummings 1999","Cumming, G. (1999). The evolutionary ecology of African ticks (Doctoral dissertation, University of Oxford).","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma cohaerens","Amblyomma cohaerens","yes","valid in papers","","Cummings 1999","Cumming, G. (1999). The evolutionary ecology of African ticks (Doctoral dissertation, University of Oxford).","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma dubitatum","Amblyomma dubitatum","yes","valid name in NCBI","","NCBI 321419","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma fuscum","Amblyomma fuscum","yes","valid name in NCBI","","NCBI 1283705","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma gemma","Amblyomma gemma","yes","valid in papers","","Cummings 1999","Cumming, G. (1999). The evolutionary ecology of African ticks (Doctoral dissertation, University of Oxford).","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma hebraeum","Amblyomma hebraeum","yes","valid name in NCBI","","NCBI 34608","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma javanense","Amblyomma javanense","yes","valid in papers","","Hassan et al. 2013","Hassan, M., Sulaiman, M. H., & Lian, C. J. (2013). The prevalence and intensity of Amblyomma javanense infestation on Malayan Pangolins (Manis javanica Desmarest) from Peninsular Malaysia. Acta tropica, 126(2), 142-145.","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyoma longirostris","Amblyomma longirostre","yes","valid name in NCBI","","NCBI 251386","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma maculatum","Amblyomma maculatum","yes","valid name in NCBI","","NCBI 34609","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma marmoreum","Amblyomma marmoreum","yes","valid in papers","","Cummings 1999","Cumming, G. (1999). The evolutionary ecology of African ticks (Doctoral dissertation, University of Oxford).","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma naponense","Amblyomma naponense","yes","valid name in NCBI","","NCBI 251387","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma oblongoguttatum","Amblyomma oblongoguttatum","yes","valid name in NCBI","","NCBI 251389","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"A. ovale","Amblyomma ovale","yes","valid name in NCBI","","NCBI 208206","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma ovale","Amblyomma ovale","yes","valid name in NCBI","","NCBI 208206","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Ambylomma ovale","Amblyomma ovale","yes","valid name in NCBI","","NCBI 208206","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma parvum","Amblyomma parvum","yes","valid name in NCBI","","NCBI 251391","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma pecarium","Amblyomma pecarium","yes","valid name in NCBI","","NCBI 251392","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma pseudoconcolor","Amblyomma pseudoconcolor","yes","valid name in NCBI","","NCBI 251394","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma rhinocerotis","Amblyomma rhinocerotis","yes","valid name in NCBI","","NCBI 127002","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"amblyomma rotundatum","Amblyomma rotundatum","yes","rotundatum common in literature, rotundatun only occurs once","","Keirans et al. 1993","Keirans, J. E., & Oliver Jr, J. H. (1993). First description of the male and redescription of the immature stages of Amblyomma rotundatum (Acari: Ixodidae), a recently discovered tick in the USA. The Journal of parasitology, 79(6), 860-865.","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma scalpturatum","Amblyomma scalpturatum","yes","valid name in NCBI","","NCBI 251396","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma","Amblyomma sp.","no","valid name in NCBI","","NCBI 6942","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyoma sp.","Amblyomma sp.","no","valid name in NCBI","","NCBI 6942","","Arthropod","Athropoda","Arachnida","Ixodida","Ixodidae",""
"Ambylomma spp.","Amblyomma sp.","no","valid name in NCBI","","NCBI 6942","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma sp.","Amblyomma sp.","no","valid name in NCBI","","NCBI 6942","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Ambylomma sp.","Amblyomma sp.","no","valid name in NCBI","","NCBI 6942","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma sparsum","Amblyomma sparsum","yes","valid name in NCBI","","NCBI 127003","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma testudinarium","Amblyomma testudinarium","yes","valid name in NCBI","","NCBI 375577","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma tholloni","Amblyomma tholloni","yes","valid name in NCBI","","NCBI 1701308","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma tigrinum","Amblyomma tigrinum","yes","valid name in NCBI","","NCBI 251399","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Ambylomma tigrinum","Amblyomma tigrinum","yes","valid name in NCBI","","NCBI 251399","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma triguttatum triguttatum","Amblyomma triguttatum","yes","valid name in NCBI","","NCBI 65637","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae","triguttatum"
"Amblyomma triste","Amblyomma triste","yes","valid name in NCBI","","NCBI 251400","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
"Amblyomma variegatum","Amblyomma variegatum","yes","valid name in NCBI","","NCBI 34610","","Arthropod","Arthropoda","Arachnida","Ixodida","Ixodidae",""
