"ParasiteReportedName","ParasiteCorrectedName","HasBinomialName","NameObservations","FLAG","NameID","NameCitation","ParType","ParPhylum","ParClass","ParOrder","ParFamily","StrainorSubsps"
"Entamoeba histolytica/dispar","Entamoeba histolytica","yes","valid name in NCBI","","NCBI 5759","","Protozoa","Sarcomastigophora","Lobosea","Amoebida","Endamoebidae",""
"Entamoeba histolytica/E. dispar","Entamoeba histolytica","yes","valid name in NCBI","","NCBI 5759","","Protozoa","Sarcomastigophora","Lobosea","Amoebida","Endamoebidae",""
"Entamoeba histolytica-like","Entamoeba histolytica","yes","valid name in NCBI","","NCBI 5759","","Protozoa","Sarcomastigophora","Lobosea","Amoebida","Endamoebidae",""
"Entamoeba hystolytica","Entamoeba histolytica","yes","valid name in NCBI","","NCBI 5759","","Protozoa","Sarcomastigophora","Lobosea","Amoebida","Endamoebidae",""
"Entamoemba histolytica","Entamoeba histolytica","yes","valid name in NCBI","","NCBI 5759","","Protozoa","Sarcomastigophora","Lobosea","Amoebida","Endamoebidae",""
"Entamoeba polecki","Entamoeba polecki","yes","valid name in NCBI","","NCBI 110769","","Protozoa","Sarcomastigophora","Lobosea","Amoebida","Endamoebidae",""
"Entamoeba sp.","Entamoeba sp.","no","valid name in NCBI","","NCBI 5758","","Protozoa","Sarcomastigophora","Lobosea","Amoebida","Endamoebidae",""
"Aerobacter aerogenes","Enterobacter aerogenes","yes","Enterobacter aerogenes valid name in NCBI with Aerobacter aerogenes as synonym","","NCBI 548","","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae",""
"Enterobacter amnigenus","Enterobacter amnigenus","yes","valid in papers","","Sheng, J. F., Li, J. J., Tu, S., Sheng, Z. K., Bi, S., Zhu, M. H., ... & Li, L. J. ","Sheng, J. F., Li, J. J., Tu, S., Sheng, Z. K., Bi, S., Zhu, M. H., ... & Li, L. J. (2012). bla KPC and rmtB on a single plasmid in Enterobacter amnigenus and Klebsiella pneumoniae isolates from the same patient.†European journal of clinical microbiology & infectious diseases,†31(7), 1585-1591.","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteraceae",""
"Enterobacter cloacae","Enterobacter cloacae","yes","valid name in NCBI","","NCBI 550","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",""
